Bandit,Reward,Algorithm
0,0.6450051541436999,Thompson Sampling
0,1.0346407422599748,Thompson Sampling
1,4.210639898140776,Thompson Sampling
1,3.3745584770930055,Thompson Sampling
1,1.3685562726721263,Thompson Sampling
1,3.82134165067128,Thompson Sampling
1,2.1242981886665215,Thompson Sampling
1,3.375549264734389,Thompson Sampling
1,0.8256149553671821,Thompson Sampling
1,3.001195838917228,Thompson Sampling
1,0.6742264079308038,Thompson Sampling
1,3.4904533709824603,Thompson Sampling
1,2.2280844304405507,Thompson Sampling
1,2.7125437336307905,Thompson Sampling
1,2.0391219963674803,Thompson Sampling
1,2.735846362309878,Thompson Sampling
1,3.06123016176079,Thompson Sampling
1,1.9114096999119772,Thompson Sampling
1,1.2112274399370349,Thompson Sampling
1,2.4236800910544214,Thompson Sampling
1,3.084482318048253,Thompson Sampling
1,2.4538499432418917,Thompson Sampling
1,1.9365167810484283,Thompson Sampling
1,2.4307790070823665,Thompson Sampling
1,1.806210506304394,Thompson Sampling
1,2.677080001184677,Thompson Sampling
3,3.3946029344458406,Thompson Sampling
1,2.9585837870680383,Thompson Sampling
1,2.877434127565273,Thompson Sampling
1,1.8205296376423425,Thompson Sampling
1,1.284440742858251,Thompson Sampling
1,1.4186465337851786,Thompson Sampling
3,4.191127033589413,Thompson Sampling
1,1.4582610688793196,Thompson Sampling
3,2.830964263603252,Thompson Sampling
1,2.06449850557582,Thompson Sampling
3,2.336771059000374,Thompson Sampling
3,4.005926047599634,Thompson Sampling
3,5.00779041565367,Thompson Sampling
3,3.499097131676444,Thompson Sampling
3,4.195102174929528,Thompson Sampling
3,2.9550840333050785,Thompson Sampling
3,4.586295458962438,Thompson Sampling
3,3.7219331689236568,Thompson Sampling
3,4.190826292855966,Thompson Sampling
3,3.8752858247083455,Thompson Sampling
3,1.5169423927212708,Thompson Sampling
3,3.1407907521558522,Thompson Sampling
3,5.333673183332374,Thompson Sampling
3,4.639715037179763,Thompson Sampling
3,4.76965293922751,Thompson Sampling
3,4.56297926600786,Thompson Sampling
3,3.6878387603535687,Thompson Sampling
3,4.107344978208422,Thompson Sampling
3,3.4494588265048116,Thompson Sampling
3,2.503958019108774,Thompson Sampling
3,3.0511456211091295,Thompson Sampling
3,5.290078416856109,Thompson Sampling
3,3.3759240631234153,Thompson Sampling
3,3.9289886433613144,Thompson Sampling
3,4.89338360994713,Thompson Sampling
3,3.6924787640923893,Thompson Sampling
3,2.6307913766633373,Thompson Sampling
3,2.8398668586694713,Thompson Sampling
3,4.498358610436779,Thompson Sampling
3,2.8278833282542637,Thompson Sampling
3,4.766150523984045,Thompson Sampling
3,4.423922475572844,Thompson Sampling
3,5.62069391670045,Thompson Sampling
3,5.333232610007538,Thompson Sampling
3,3.9278134720941633,Thompson Sampling
3,3.3066607498361438,Thompson Sampling
3,4.250513779986215,Thompson Sampling
3,4.278594105124966,Thompson Sampling
3,3.3042243816621575,Thompson Sampling
3,3.5753643839373397,Thompson Sampling
3,4.753745939288901,Thompson Sampling
3,4.8045053982249,Thompson Sampling
3,4.097634466850102,Thompson Sampling
3,2.3117720224546465,Thompson Sampling
3,4.674156590038269,Thompson Sampling
3,2.893505835151501,Thompson Sampling
3,4.028076069914816,Thompson Sampling
3,3.3059103355121526,Thompson Sampling
3,3.7375681431165564,Thompson Sampling
3,2.9147130077934422,Thompson Sampling
3,2.818204077286248,Thompson Sampling
3,4.51578184111366,Thompson Sampling
3,2.3703269508267404,Thompson Sampling
3,5.455981848517233,Thompson Sampling
3,5.100079218835205,Thompson Sampling
3,2.9748556284895087,Thompson Sampling
3,1.982626962515965,Thompson Sampling
3,3.95393516086063,Thompson Sampling
3,4.646270321350041,Thompson Sampling
3,1.3484774089628693,Thompson Sampling
3,5.360976394355523,Thompson Sampling
3,4.449631703904123,Thompson Sampling
3,3.471597738653736,Thompson Sampling
3,4.308081276408041,Thompson Sampling
3,2.588247124664739,Thompson Sampling
3,4.270634017073481,Thompson Sampling
3,4.557673650727418,Thompson Sampling
3,3.7294792641438455,Thompson Sampling
3,4.52657208096127,Thompson Sampling
3,5.136850728215134,Thompson Sampling
3,6.4326881388976105,Thompson Sampling
3,3.5373889187712524,Thompson Sampling
3,5.686050920303444,Thompson Sampling
3,5.298238948808837,Thompson Sampling
3,2.420681240685056,Thompson Sampling
3,3.855517341179337,Thompson Sampling
3,4.094987516210718,Thompson Sampling
3,3.627011327786116,Thompson Sampling
3,2.872540526081194,Thompson Sampling
3,3.2599905338359743,Thompson Sampling
3,4.835575140723111,Thompson Sampling
3,2.3722355055701594,Thompson Sampling
3,3.1207579566943884,Thompson Sampling
3,6.013693777005275,Thompson Sampling
3,3.250127011729566,Thompson Sampling
3,4.514729890613703,Thompson Sampling
3,2.7757762681682143,Thompson Sampling
3,1.930998764680922,Thompson Sampling
3,2.7058367685356615,Thompson Sampling
3,4.573190040427271,Thompson Sampling
3,3.7432816251697463,Thompson Sampling
3,4.424480743023185,Thompson Sampling
3,3.3927193763861867,Thompson Sampling
3,6.409691751053855,Thompson Sampling
3,2.4550862350628506,Thompson Sampling
3,3.150446751577174,Thompson Sampling
3,4.819602071611554,Thompson Sampling
3,3.882057125157524,Thompson Sampling
3,4.3485573249070955,Thompson Sampling
3,1.7555394612146218,Thompson Sampling
3,4.694839023902649,Thompson Sampling
3,5.969800533294406,Thompson Sampling
3,4.600237337472701,Thompson Sampling
3,5.698541677787597,Thompson Sampling
3,2.173889880633457,Thompson Sampling
3,4.082051173475022,Thompson Sampling
3,2.9060016894581358,Thompson Sampling
3,4.369815033922653,Thompson Sampling
3,2.6976479676499343,Thompson Sampling
3,4.451470347178648,Thompson Sampling
3,1.9728874329390478,Thompson Sampling
3,3.772982692632311,Thompson Sampling
3,3.8892230596363087,Thompson Sampling
3,3.9816839339423717,Thompson Sampling
3,3.6004559638128026,Thompson Sampling
3,3.6703685177369034,Thompson Sampling
3,3.7875169548671908,Thompson Sampling
3,2.8822583238354453,Thompson Sampling
3,5.409370718688072,Thompson Sampling
3,2.569451263356604,Thompson Sampling
3,3.1328349895029164,Thompson Sampling
3,4.008235771280384,Thompson Sampling
3,5.293670231384742,Thompson Sampling
3,4.303961020486796,Thompson Sampling
3,3.7546358358038225,Thompson Sampling
3,4.795995975470521,Thompson Sampling
3,3.8799612873115894,Thompson Sampling
3,3.7277176818797,Thompson Sampling
3,4.240646092285765,Thompson Sampling
3,2.77095950619917,Thompson Sampling
3,4.58381479731856,Thompson Sampling
3,4.562223104025349,Thompson Sampling
3,5.535798410076432,Thompson Sampling
3,5.956717189889542,Thompson Sampling
3,3.754571888859173,Thompson Sampling
3,3.882210953832398,Thompson Sampling
3,4.163536510421653,Thompson Sampling
3,4.530232586213252,Thompson Sampling
3,3.2363493897146767,Thompson Sampling
3,3.297580790413252,Thompson Sampling
3,5.517842839717942,Thompson Sampling
3,5.915569164398114,Thompson Sampling
3,3.415084931568482,Thompson Sampling
3,4.5287832366817655,Thompson Sampling
3,4.534657258262714,Thompson Sampling
3,3.713482768396828,Thompson Sampling
3,3.691441736466178,Thompson Sampling
3,4.4039411193094695,Thompson Sampling
3,4.298064748547934,Thompson Sampling
3,5.435125822362837,Thompson Sampling
3,4.159754808827839,Thompson Sampling
3,3.7540330194889213,Thompson Sampling
3,4.558557661526825,Thompson Sampling
3,3.4668112730322798,Thompson Sampling
3,5.190881297964779,Thompson Sampling
3,1.4615103765812458,Thompson Sampling
3,4.118471615605211,Thompson Sampling
3,3.225651533569388,Thompson Sampling
3,4.197828811757096,Thompson Sampling
3,3.175011814264272,Thompson Sampling
3,2.836426908698571,Thompson Sampling
3,4.679334166282731,Thompson Sampling
3,4.095080265650163,Thompson Sampling
3,3.4604046789909173,Thompson Sampling
3,4.207579651407581,Thompson Sampling
3,3.910727906796985,Thompson Sampling
3,3.784189545672337,Thompson Sampling
3,3.0904682852913394,Thompson Sampling
3,5.0710575191381375,Thompson Sampling
3,3.481195137543204,Thompson Sampling
3,3.7378306412376254,Thompson Sampling
3,4.3509002061188955,Thompson Sampling
3,3.2576215602127374,Thompson Sampling
3,3.3404374989110246,Thompson Sampling
3,2.506327961596777,Thompson Sampling
3,3.916639514112294,Thompson Sampling
